tankID,treatment,m_fish1_weight.g,m_fish2_weight.g,f_fish1_weight.g,f_fish2_weight.g,m_fish1_SL.mm,m_fish2_SL.mm,f_fish1_SL.mm,f_fish2_SL.mm
8.2,flux,0.75,0.807,0.945,0.999,37.2,39.8,37.9,38.5
3.3,mean,0.879,0.735,0.855,0.972,40.7,38,36.5,40.5
7.2,flux,0.818,0.558,1.06,0.954,39.6,33.5,39.1,39.4
7.1,mean,0.745,0.637,0.908,1.188,36.5,36.3,34.9,43
4.2,mean,0.824,0.761,1.08,1.277,35.2,38.3,39.4,37.1
5.2,control,0.879,0.862,0.821,0.838,36.8,38.3,36.3,35.2
7.3,flux,0.865,0.953,0.839,0.818,35.8,34,36.3,36.9
6.3,mean,0.626,0.738,0.913,0.995,36.1,39.3,37.9,36.6
1.3,mean,0.912,0.582,1.013,1.053,40.5,32.7,39.4,38.6
3.2,mean,0.866,0.933,1.387,1.105,41.3,41.4,42.8,40.9
1.1,control,0.778,0.831,0.955,1.069,38,39.1,41,39.8
2.3,control,0.821,0.933,1.332,0.83,38.3,40.5,41.8,39.8
6.1,flux,0.951,0.909,0.904,0.812,38.5,37.2,36.5,37
6.2,flux,0.677,0.644,1.05,0.7,35.1,36.7,34,33.7
2.2,control,0.632,0.793,1.064,0.729,35,38.5,38.5,35.8
5.3,control,0.619,0.746,0.771,1.061,35.1,36.3,36.3,37.4
3.1,flux,0.911,0.671,0.648,0.916,40.8,36.2,38.3,38.6
2.1,flux,0.836,0.548,0.764,0.99,38.5,35.3,37.2,36.2
1.2,control,0.795,0.747,0.646,0.838,39,37.8,35.6,38.5
4.1,flux,0.846,0.54,0.823,0.603,38.5,35.2,36.9,33.2
4.3,control,0.638,0.794,0.706,0.538,35.6,39.4,32.5,37.6
8.3,mean,0.806,0.655,0.84,0.778,37.2,37.5,38.1,
8.1,control,0.504,0.664,0.947,0.665,36,35.1,38.5,33.1
5.1,mean,0.992,0.748,0.801,0.816,38.7,37.3,35.9,37.6
