tankID,time,treatment,sex,fish1_weight_g,fish2_weight_g,fish3_weight_g,avg_weight_g,fish1_SL_mm,fish2_SL_mm,fish3_SL_mm,avg_SL_mm
4.1,before,control,f,0.896,0.831,0.878,0.868333333,36.8,37.8,35.2,36.6
6.2,before,flux,f,0.844,0.569,0.875,0.762666667,35.4,32,35.6,34.33333333
4.2,before,mean,m,0.619,0.503,0.501,0.541,36.2,34.3,34.5,35
4.3,before,flux,f,0.682,0.762,0.511,0.651666667,36.2,36.8,32.5,35.16666667
1.2,before,control,m,0.616,0.57,0.46,0.548666667,36.3,37.1,33.9,35.76666667
1.3,before,control,m,0.675,0.6,0.604,0.626333333,38.4,34.4,34.9,35.9
3.1,before,mean,f,0.73,0.744,0.786,0.753333333,36.7,35.7,35.8,36.06666667
5.2,before,control,m,0.595,0.673,0.458,0.575333333,35.5,35.8,32.9,34.73333333
1.1,before,flux,f,0.718,0.855,0.704,0.759,35.6,37.3,34.5,35.8
2.2,before,mean,m,0.508,0.595,0.726,0.609666667,33.6,35.1,35.3,34.66666667
3.3,before,control,m,0.885,0.692,0.63,0.735666667,37.7,34.8,35,35.83333333
8.2,before,control,f,1.049,0.686,0.7,0.811666667,33.1,33.6,38.4,35.03333333
5.3,before,flux,f,0.867,0.805,0.661,0.777666667,35.2,34.3,37.4,35.63333333
7.2,before,mean,m,0.802,0.5,0.687,0.663,33.6,36.1,35.9,35.2
6.1,before,mean,f,0.845,0.99,0.737,0.857333333,37.3,37.3,36.8,37.13333333
8.3,before,flux,m,0.795,0.798,0.528,0.707,36.2,38.6,35.5,36.76666667
5.1,before,flux,m,0.688,0.742,0.628,0.686,36.1,36.2,35.4,35.9
7.3,before,control,f,0.714,0.851,1.036,0.867,34.7,37,37.7,36.46666667
7.1,before,mean,f,0.891,0.722,0.761,0.791333333,37.8,37.6,35,36.8
2.3,before,flux,m,0.731,0.511,0.633,0.625,36,33.8,35.8,35.2
8.1,before,control,f,0.681,0.746,0.964,0.797,36.5,35.8,35.9,36.06666667
3.2,before,flux,m,0.681,0.772,0.545,0.666,36.2,35.7,32.7,34.86666667
2.1,before,mean,f,0.93,0.914,0.832,0.892,37.8,36.7,37.7,37.4
6.3,before,mean,m,0.525,0.675,0.671,0.623666667,32.5,35.1,35.5,34.36666667
2.1,after,mean,f,0.95,0.927,0.951,0.942666667,37.6,37,35.8,36.8
2.2,after,mean,m,0.704,0.593,0.525,0.607333333,37.2,33.4,34.1,34.9
2.3,after,flux,m,0.55,0.731,0.665,0.648666667,31,34.1,38,34.36666667
1.1,after,flux,f,0.783,0.871,0.696,0.783333333,35.3,36.5,34.8,35.53333333
1.2,after,control,m,0.428,0.634,0.554,0.538666667,31.7,36.7,33.5,33.96666667
1.3,after,control,m,0.567,0.725,0.704,0.665333333,36,39,35.2,36.73333333
3.1,after,mean,f,0.766,0.899,0.726,0.797,35.2,36,36.1,35.76666667
3.2,after,flux,m,0.748,0.618,0.566,0.644,34.6,36.3,33,34.63333333
3.3,after,control,m,0.817,0.842,0.634,0.764333333,40,38,36.5,38.16666667
4.1,after,control,f,0.755,1.009,0.798,0.854,35.1,36.2,33.9,35.06666667
4.2,after,mean,m,0.532,0.555,0.654,0.580333333,37.9,33.6,36.3,35.93333333
4.3,after,flux,f,0.876,0.598,0.825,0.766333333,35.1,33.1,34.2,34.13333333
5.1,after,flux,m,0.753,0.729,0.787,0.756333333,35.4,37.5,37.3,36.73333333
5.2,after,control,m,0.704,0.482,0.555,0.580333333,36.2,34.2,35.2,35.2
5.3,after,flux,f,0.988,0.729,0.817,0.844666667,39,35.9,34.3,36.4
6.1,after,mean,f,0.98,0.971,0.726,0.892333333,36.4,37.5,33.8,35.9
6.2,after,flux,f,1.04,0.855,0.618,0.837666667,37.4,36,31.9,35.1
6.3,after,mean,m,0.661,0.688,0.574,0.641,35.8,37.1,34.4,35.76666667
7.1,after,mean,f,0.74,0.984,0.821,0.848333333,34.6,36.9,36.5,36
7.2,after,mean,m,0.901,0.483,0.671,0.685,35.8,35.5,33.5,34.93333333
7.3,after,control,f,0.848,1.006,0.758,0.870666667,37.9,38.4,34.5,36.93333333
8.1,after,control,f,0.761,0.975,0.795,0.843666667,37.6,36.8,35.4,36.6
8.2,after,control,f,0.587,1.052,1.037,0.892,33.9,37.4,35.7,35.66666667
8.3,after,flux,m,0.771,0.778,0.56,0.703,39.3,38.4,36.3,38
